"","symbol","date","adjusted","macd","signal","diff"
"296","DIS",2020-10-26,124.059998,1.04647834010518,-0.417914550347522,1.46439289045271
"297","DIS",2020-10-27,123.309998,1.00039914197156,-0.102594497081161,1.10299363905273
"298","DIS",2020-10-28,118.470001,0.838111370383787,0.160411316592924,0.677700053790864
"299","DIS",2020-10-29,121.540001,0.395646581473375,0.332820761783378,0.0628258196899968
"300","DIS",2020-10-30,121.25,0.0765426212634202,0.43775750389099,-0.36121488262757
"301","DIS",2020-11-02,120.129997,-0.288335044782473,0.463203371450293,-0.751538416232766
"302","DIS",2020-11-03,124.019997,-0.414679361045278,0.434911232476778,-0.849590593522056
"303","DIS",2020-11-04,125.07,-0.348147688872402,0.349555231319612,-0.697702920192014
"304","DIS",2020-11-05,126.959999,-0.302204972856579,0.2226456652934,-0.524850638149979
"305","DIS",2020-11-06,127.459999,-0.374477940397844,0.0647616341263969,-0.439239574524241
"306","DIS",2020-11-09,142.589996,0.0124360647666855,-0.0450120411185896,0.0574481058852751
"307","DIS",2020-11-10,142.110001,0.350451751988046,-0.0991964431625609,0.449648195150607
"308","DIS",2020-11-11,137.820007,0.741200572039902,-0.0608015553218356,0.802002127361737
"309","DIS",2020-11-12,135.520004,1.15731014643661,0.059283725252963,1.09802642118364
"310","DIS",2020-11-13,138.360001,1.99007442276922,0.312440332758706,1.67763409001051
"311","DIS",2020-11-16,144.669998,2.88933792862047,0.67955336494379,2.20978456367668
"312","DIS",2020-11-17,144.5,3.79074279309839,1.13943008516277,2.65131270793562
"313","DIS",2020-11-18,143.899994,4.85751783517792,1.71273261938882,3.14478521578909
"314","DIS",2020-11-19,141.720001,5.52092117293885,2.36777696531512,3.15314420762373
"315","DIS",2020-11-20,141.070007,6.11449746078392,3.04578378709481,3.06871367368911
"316","DIS",2020-11-23,145.979996,6.72427080984137,3.75398590463407,2.9702849052073
"317","DIS",2020-11-24,151.490005,7.39022359289252,4.49276624028436,2.89745735260816
"318","DIS",2020-11-25,149.089996,7.04935062777201,5.14743740487718,1.90191322289483
"319","DIS",2020-11-27,147.130005,6.73257792345163,5.67438223828634,1.05819568516529
"320","DIS",2020-11-30,148.009995,6.73973378133002,6.10220399969851,0.637529781631502
"321","DIS",2020-12-01,149.440002,6.9560602508846,6.45390593945254,0.502154311432062
